,Latitude,Longitude
5320011,40.707259124000004,-73.944055662
5320020,40.86894764,-73.89539083
5320077,40.770227994,-73.907918248
5320272,40.882635463,-73.883941587
5320310,40.605723354,-73.97185681100001
5320330,40.634594487,-73.910313987
5320379,40.73645057,-73.88043622800001
5320449,40.776919024,-73.903767614
5320461,40.770741681,-73.98737989899999
5320532,40.678929366,-73.744543007
5320538,40.734322887,-73.82080541100001
5320550,40.84783644,-73.89354089
5320653,40.679368541,-73.985980289
5320771,40.613181424000004,-74.075721299
5320876,40.679148943,-73.80160023399999
5320940,40.65908476,-73.846597671
5321007,40.733067084,-73.81987786
5321098,40.700506827,-73.73634571
5321133,40.593685326999996,-73.75907038
5321256,40.696511003000005,-73.741439155
5321276,40.672449039,-73.93217405899999
5321435,40.724246047,-73.798713248
5321438,40.75961327,-73.76182722
5321749,40.631919919,-73.98998212800001
5321761,40.685775634,-73.964254699
5321767,40.820515058000005,-73.853111908
5321779,40.70233066,-73.922359008
5321815,40.594451546,-73.944611067
5321816,40.698925874000004,-73.928883336
5321880,40.777896796,-73.98401700699999
5321936,40.860459211999995,-73.864613886
5321952,40.765685865,-73.987351977
5322067,40.853115291,-73.883009882
5322622,40.647389968,-73.998985225
5322700,40.665022691,-73.957114368
5322757,40.619186858,-73.912431105
5322787,40.697233385,-73.784315454
5322845,40.686111380999996,-73.824601975
5322867,40.658023011,-73.91262160699999
5322957,40.605195478,-73.95251068
5322970,40.869891945999996,-73.901785463
5322999,40.712199485999996,-73.995654876
5323087,40.759282955,-73.92867812
5323250,40.701713709,-73.911792543
5323295,40.796327808,-73.970699963
5323307,40.750463199,-73.856940524
5323427,40.837847997,-73.909060623
5323815,40.83469937,-73.942495779
5323830,40.792406881,-73.976317506
5323833,40.663073169,-73.757428438
5323867,40.883125242,-73.879774651
5324003,40.742908031999995,-73.789692644
5324104,40.650839821999995,-73.973344169
5324131,40.667877556,-73.97746476
5324144,40.62682707,-73.93064973199999
5324165,40.721414449,-73.85615148
5324176,40.583692209,-73.958275444
5324185,40.842780999,-73.910026097
5324197,40.742908031999995,-73.789692644
5324198,40.734322887,-73.82080541100001
5324267,40.732535081,-73.895882812
5324444,40.811652816999995,-73.924872221
5324449,40.672103984,-73.737625996
5324539,40.680948759,-73.918201609
5324657,40.740489781,-74.000134968
5324663,40.587257813,-73.939925758
5324717,40.765070683000005,-73.915145335
5324818,40.831359842,-73.887655443
5325088,40.60156483,-73.942105978
5325117,40.654995317,-73.923931387
5325323,40.704007905,-73.91123408
5325542,40.692937082,-73.944370589
5325548,40.654334953,-73.730823049
5325568,40.743997173000004,-73.895879335
5325575,40.835212497,-73.871029137
5325581,40.867649346,-73.901571842
5325588,40.831153652,-73.928572172
5325590,40.869977565,-73.881859356
5325609,40.684492881,-73.796796066
5325629,40.695689767,-73.95636258
5325631,40.692068764,-73.954673725
5325644,40.680404582,-73.909899053
5325727,40.658206592,-73.840659969
5325804,40.668719174,-73.768063618
5325826,40.762216908,-73.991742178
5325842,40.866639255,-73.927449412
5325897,40.725713780999996,-73.95391845
5325903,40.76126709,-73.928170627
5326000,40.597855345999996,-73.93463725
5326010,40.596011813000004,-73.742116381
5326049,40.662776404,-73.892506196
5326052,40.711151921,-73.958769186
5326137,40.69293935,-73.808457629
5326141,40.70505849,-73.765924625
5326154,40.591664825,-73.990737091
5326324,40.691810903000004,-73.962736939
5326366,40.758606628,-73.790426369
5326532,40.847448522,-73.905071604
5326595,40.866639255,-73.927449412
5326596,40.880558486999995,-73.851120502
5326692,40.638342636,-74.076164211
5326730,40.777896796,-73.98401700699999
5326824,40.677591513,-73.845617738
5326861,40.758227642,-73.880638982
5326862,40.828578104,-73.904437269
5326863,40.662496265,-73.883859626
5326882,40.67688151,-73.870848622
5326891,40.719040887,-73.74423775
5326901,40.836404258,-73.86908619
5326986,40.903486015,-73.900715687
5326995,40.712918619,-73.995788294
5327108,40.702756943000004,-73.88417178600001
5327127,40.674614344,-73.947273541
5327147,40.711370806,-73.956868126
5327287,40.713022566999996,-73.99004929899999
5327315,40.689399264,-73.93931809600001
5327343,40.684231517,-73.910824127
5327361,40.761657803,-73.92123940399999
5327365,40.766025962,-73.985243655
5327433,40.720663793,-73.988063995
5327444,40.711471206,-73.984819274
5327459,40.821180067,-73.944884829
5327517,40.759017021999995,-73.860138354
5327763,40.731996427,-73.81627617
5327801,40.606239663000004,-73.94299146600001
5327853,40.734025223,-73.804850298
5327945,40.730431573000004,-73.894756762
5327949,40.689106963,-73.915425902
5327957,40.755988005,-73.969190893
5328027,40.726668454,-73.883307626
5328083,40.65435623,-74.00070422
5328100,40.582753726,-73.82122288800001
5328101,40.582753726,-73.82122288800001
5328114,40.674040151,-73.980595465
5328151,40.809353011999995,-73.91351388300001
5328384,40.632036529000004,-74.122240202
5328545,40.828254267,-73.915006947
5328550,40.618930632,-74.073238789
5328551,40.692931032,-73.937908515
5328556,40.727537281,-74.00096476899999
5328566,40.687992445999996,-73.961278722
5328572,40.729063366999995,-73.999142738
5328606,40.766998607,-73.806861974
5328893,40.616753424,-73.914019157
5329116,40.70080008,-73.923857486
5329196,40.71637168,-73.78232359100001
5329197,40.745607391,-73.762126307
5329218,40.836403673,-73.866184268
5329222,40.716557345,-73.941959203
5329272,40.876649139,-73.842179557
5329322,40.89606837,-73.898968859
5329333,40.683802351,-73.964933605
5329363,40.89606837,-73.898968859
5329455,40.682454734000004,-73.909651108
5329603,40.763092326999995,-73.776243476
5329618,40.763092326999995,-73.776243476
5329621,40.695325873,-73.959539882
5329657,40.796289606,-73.971595673
5329674,40.686729395,-73.952712228
5329685,40.679002252,-73.869986448
